claim_id,target
ID_4RO0KZI9BBW2,7732.327414183731
ID_GTE9ZUJ9GZ97,15829.571692093221
ID_RUVIYRKWZ4RG,9944.19856074938
ID_J81X8SWU6JYN,3965.5275011780627
ID_94NM3JJAWWOQ,9030.876513725241
ID_TKCNGKSO1CMY,375.54509960634783
ID_T1HVS684BH5I,1597.1730606717854
ID_T8UW9ST7U75S,3816.8111459017323
ID_MPCPOYBXBDQ9,2528.859502580911
ID_PTR3D1Y4HKCO,3787.0908011504284
ID_BC4UJTA1DJB7,2445.161540007806
ID_03JOAPPUJI6H,1284.6775829154722
ID_6DA9F02OTHSO,15320.20470247265
ID_JY758RRZZVA5,7733.394203150061
ID_9FQJ4MQEN5H8,16979.620184385218
ID_KINUO4FIN53W,18759.591138697633
ID_0TWXLFK8X4EK,5049.23127051957
ID_I6OMG6AI9ILY,9402.277623556956
ID_RVMFMHHRW1NO,10634.947270643583
ID_UCZH0BOUHPLA,19313.526311807276
ID_8AFFKZSAYZZ7,8075.8007311105885
ID_90JC4ZNT0OJ4,5230.699146656849
ID_KCGFWWUG3GRU,4083.316925901355
ID_GT5MHBR2CCZB,360497.74198166624
ID_Y73Z17TBVJH2,6548.291293693867
ID_9OPVG2YWFOHJ,10376.87165507632
ID_TAR4XMXNQ78T,1572.9784950882301
ID_BOH67OUBV0XA,18386.982790432772
ID_XE0ZOYIEJT1L,536.1563452257368
ID_A26VR0IPQPYK,4799.2274977182815
ID_5HK9WNZ8B2LB,268.8859224934209
ID_Y3ISOSIA9SXQ,9360.74778487828
ID_UR21G3FGN1W1,724.7333540015029
ID_UMY0EF1B711C,7414.3593139281
ID_RAI79W35GVL0,-1301.1046750020305
ID_R1XVA2NP0C2B,345.6125344108598
ID_GWH8NNO4VWA8,916.1815828542894
ID_L9DV4R1IIWAN,3469.048320794287
ID_LDS7X8U77NHH,259965.45577114614
ID_KVA90UYWBFBQ,11203.146828820722
ID_97O5TWK60K3I,826.1135922112787
ID_UZB1OAVL2SIL,4909.648985446453
ID_YTBRQ8M5FHUU,357.45878325382796
ID_HOY2QIKDDW1G,-1922.1961952055321
ID_KAFOD2UM81CF,6092.911188307796
ID_KXGO2CVPRRHM,1384.2834112372375
ID_CITCPNZS8NGE,1523.8079686552983
ID_2VML60NPZD9I,9287.893573663434
ID_IBBBVJTXD09L,4862.329393942855
ID_KDE9033V0GH6,2639.403880373836
ID_CHAV6L6ZSA9J,5826.199523881273
ID_RRMTZ0MLZIJQ,587.4202105928821
ID_ZXW6VOJI17P0,4763.040172233872
ID_AVX2HTUEJE88,2045.2555487308537
ID_XALN4Y87TVFA,1650.67047237194
ID_7Q9XBGSX61H0,1992.2175327843015
ID_DNRLZ1XI4SB8,14039.30761551211
ID_OL9E87L56NNA,2844.376917991936
ID_A5W8LFFIV6JL,2003.4924823720257
ID_UKZ47XRMJLOK,1940.6599186411459
ID_OR285DODEJ6V,25739.378784062897
ID_ITOLUWCQIRXT,8337.596185822937
ID_8DVQJCG9I1J5,662.7378387942473
ID_HR5G1CJHPKS7,1558.8647553720605
ID_IGKYRHBR9LA8,7425.856781115409
ID_U49D9T6ZI6D2,123.48664667103554
ID_8WZD8J2M5VM4,24148.50043260185
ID_L11PTPIBEOUY,15929.970105012402
ID_AB6US7JBUFGA,1360.9971847943787
ID_99BLGEXMLCM0,2323.2371859132536
ID_HJX8S2IICQGK,9653.530541353779
ID_T2MQ13XD0BZH,8834.513383742706
ID_NGZ13S84K0SZ,26385.135066394818
ID_KQC61JPTBOWP,2801.0071269888203
ID_LBUJS9N3CZLR,1188.194878421882
ID_GWEOWVWDJU49,302.4990948489908
ID_ARSJNVI9J3CD,2145.800705162848
ID_3WD3PW51IHIB,12370.48716839365
ID_9YU1OGVM07XT,689.2665817470962
ID_MZPV0UT4FXS0,1686.8539868880448
ID_5SHCLLHGGTZM,15153.166231316996
ID_F8XAZJ6RA96K,7644.484583299545
